claim_id,claim_family,claim_allowed_in_m2576,evidence_required_before_claim,status_pass,claim_boundary
validation_readiness_boundary_materialized_claim_boundary,validation_readiness_boundary_materialized,True,M2576 static boundary rows and gate matrix,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
validation_admission_claim_boundary,validation_admission,False,later validation-admission audit,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
external_validation_execution_claim_boundary,external_validation_execution,False,later explicit external-validation execution manifest,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
high_fidelity_validation_readiness_claim_boundary,high_fidelity_validation_readiness,False,audited boundary plus explicit readiness decision,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
high_fidelity_validation_result_claim_boundary,high_fidelity_validation_result,False,later external validation result audit,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
rollout_success_claim_boundary,rollout_success,False,later audited rollout-success criteria,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
success_rate_or_controller_family_verdict_claim_boundary,success_rate_or_controller_family_verdict,False,separate benchmark/verdict milestone,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
controller_ranking_or_winner_selection_claim_boundary,controller_ranking_or_winner_selection,False,controller-family comparison milestone,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
checkpoint_promotion_claim_boundary,checkpoint_promotion,False,promotion gates after proof and generalization retention,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
driver_performance_claim_claim_boundary,driver_performance_claim,False,measured validation with claim-boundary audit,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
paper_fw_vs_gru_current_sim_or_self_id_claim_claim_boundary,paper_fw_vs_gru_current_sim_or_self_id_claim,False,separate paper-route evidence matrix,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
hf4_discrepancy_result_claim_boundary,hf4_discrepancy_result,False,later HF4 external validation and discrepancy result audit,True,"Route A HF3 validation-readiness boundary materialization preflight only; boundary artifacts may be materialized; not validation admission, external simulation, validation execution, validation readiness/result, rollout success, ranking, driver performance, paper, FW-vs-GRU, current-sim verdict, high-fidelity validation, or self-ID"
